alias,code,emoji
"zombie","\U0001f9df","🧟"
"woman_zombie","\U0001f9df\u200d\u2640\ufe0f","🧟‍♀️"
"man_zombie","\U0001f9df\u200d\u2642\ufe0f","🧟‍♂️"
"genie","\U0001f9de","🧞"
"woman_genie","\U0001f9de\u200d\u2640\ufe0f","🧞‍♀️"
"man_genie","\U0001f9de\u200d\u2642\ufe0f","🧞‍♂️"
"merperson","\U0001f9dc","🧜"
"mermaid","\U0001f9dc\u200d\u2640\ufe0f","🧜‍♀️"
"merman","\U0001f9dc\u200d\u2642\ufe0f","🧜‍♂️"
"fairy","\U0001f9da","🧚"
"woman_fairy","\U0001f9da\u200d\u2640\ufe0f","🧚‍♀️"
"man_fairy","\U0001f9da\u200d\u2642\ufe0f","🧚‍♂️"
"angel","\U0001f47c","👼"
"pregnant_woman","\U0001f930","🤰"
"expecting_woman","\U0001f930","🤰"
"breast_feeding","\U0001f931","🤱"
"person_feeding_baby","\U0001f9d1\u200d\U0001f37c","🧑‍🍼"
"woman_feeding_baby","\U0001f469\u200d\U0001f37c","👩‍🍼"
"man_feeding_baby","\U0001f468\u200d\U0001f37c","👨‍🍼"
"person_bowing","\U0001f647","🙇"
"bow","\U0001f647","🙇"
"woman_bowing","\U0001f647\u200d\u2640\ufe0f","🙇‍♀️"
"man_bowing","\U0001f647\u200d\u2642\ufe0f","🙇‍♂️"
"person_tipping_hand","\U0001f481","💁"
"information_desk_person","\U0001f481","💁"
"woman_tipping_hand","\U0001f481\u200d\u2640\ufe0f","💁‍♀️"
"man_tipping_hand","\U0001f481\u200d\u2642\ufe0f","💁‍♂️"
"person_gesturing_no","\U0001f645","🙅"
"no_good","\U0001f645","🙅"
"woman_gesturing_no","\U0001f645\u200d\u2640\ufe0f","🙅‍♀️"
"man_gesturing_no","\U0001f645\u200d\u2642\ufe0f","🙅‍♂️"
"person_gesturing_ok","\U0001f646","🙆"
"ok_woman","\U0001f646","🙆"
"woman_gesturing_ok","\U0001f646\u200d\u2640\ufe0f","🙆‍♀️"
"man_gesturing_ok","\U0001f646\u200d\u2642\ufe0f","🙆‍♂️"
"person_raising_hand","\U0001f64b","🙋"
"raising_hand","\U0001f64b","🙋"
"woman_raising_hand","\U0001f64b\u200d\u2640\ufe0f","🙋‍♀️"
"man_raising_hand","\U0001f64b\u200d\u2642\ufe0f","🙋‍♂️"
"deaf_person","\U0001f9cf","🧏"
"deaf_woman","\U0001f9cf\u200d\u2640\ufe0f","🧏‍♀️"
"deaf_man","\U0001f9cf\u200d\u2642\ufe0f","🧏‍♂️"
"person_facepalming","\U0001f926","🤦"
"face_palm","\U0001f926","🤦"
"facepalm","\U0001f926","🤦"
"woman_facepalming","\U0001f926\u200d\u2640\ufe0f","🤦‍♀️"
"man_facepalming","\U0001f926\u200d\u2642\ufe0f","🤦‍♂️"
"person_shrugging","\U0001f937","🤷"
"shrug","\U0001f937","🤷"
"woman_shrugging","\U0001f937\u200d\u2640\ufe0f","🤷‍♀️"
"man_shrugging","\U0001f937\u200d\u2642\ufe0f","🤷‍♂️"
"person_pouting","\U0001f64e","🙎"
"person_with_pouting_face","\U0001f64e","🙎"
"woman_pouting","\U0001f64e\u200d\u2640\ufe0f","🙎‍♀️"
"man_pouting","\U0001f64e\u200d\u2642\ufe0f","🙎‍♂️"
"person_frowning","\U0001f64d","🙍"
"woman_frowning","\U0001f64d\u200d\u2640\ufe0f","🙍‍♀️"
"man_frowning","\U0001f64d\u200d\u2642\ufe0f","🙍‍♂️"
"person_getting_haircut","\U0001f487","💇"
"haircut","\U0001f487","💇"
"woman_getting_haircut","\U0001f487\u200d\u2640\ufe0f","💇‍♀️"
"man_getting_haircut","\U0001f487\u200d\u2642\ufe0f","💇‍♂️"
"person_getting_massage","\U0001f486","💆"
"massage","\U0001f486","💆"
"woman_getting_face_massage","\U0001f486\u200d\u2640\ufe0f","💆‍♀️"
"man_getting_face_massage","\U0001f486\u200d\u2642\ufe0f","💆‍♂️"
"person_in_steamy_room","\U0001f9d6","🧖"
"woman_in_steamy_room","\U0001f9d6\u200d\u2640\ufe0f","🧖‍♀️"
"man_in_steamy_room","\U0001f9d6\u200d\u2642\ufe0f","🧖‍♂️"
"nail_care","\U0001f485","💅"
"selfie","\U0001f933","🤳"
"dancer","\U0001f483","💃"
"man_dancing","\U0001f57a","🕺"
"male_dancer","\U0001f57a","🕺"
"people_with_bunny_ears_partying","\U0001f46f","👯"
"dancers","\U0001f46f","👯"
"women_with_bunny_ears_partying","\U0001f46f\u200d\u2640\ufe0f","👯‍♀️"
"men_with_bunny_ears_partying","\U0001f46f\u200d\u2642\ufe0f","👯‍♂️"
"levitate","\U0001f574\ufe0f","🕴️"
"man_in_business_suit_levitating","\U0001f574\ufe0f","🕴️"
"person_in_manual_wheelchair","\U0001f9d1\u200d\U0001f9bd","🧑‍🦽"
"woman_in_manual_wheelchair","\U0001f469\u200d\U0001f9bd","👩‍🦽"
"man_in_manual_wheelchair","\U0001f468\u200d\U0001f9bd","👨‍🦽"
"person_in_motorized_wheelchair","\U0001f9d1\u200d\U0001f9bc","🧑‍🦼"
"woman_in_motorized_wheelchair","\U0001f469\u200d\U0001f9bc","👩‍🦼"
"man_in_motorized_wheelchair","\U0001f468\u200d\U0001f9bc","👨‍🦼"
"person_walking","\U0001f6b6","🚶"
"walking","\U0001f6b6","🚶"
"woman_walking","\U0001f6b6\u200d\u2640\ufe0f","🚶‍♀️"
"man_walking","\U0001f6b6\u200d\u2642\ufe0f","🚶‍♂️"
"person_with_probing_cane","\U0001f9d1\u200d\U0001f9af","🧑‍🦯"
"woman_with_probing_cane","\U0001f469\u200d\U0001f9af","👩‍🦯"
"man_with_probing_cane","\U0001f468\u200d\U0001f9af","👨‍🦯"
"person_kneeling","\U0001f9ce","🧎"
"woman_kneeling","\U0001f9ce\u200d\u2640\ufe0f","🧎‍♀️"
